revs,Preprocessed_Text,Sentiment_Scores
Spoke to a nice man and really helped me fix my issue of transferring accounts over. Super helpful but thats were the good ends.The Data feature is useless never works.Pay for unlimited data and never can get a connection or a good one,"['spoke', 'to', 'a', 'nice', 'man', 'and', 'really', 'helped', 'me', 'fix', 'my', 'issue', 'of', 'transferring', 'accounts', 'over', '.', 'super', 'helpful', 'but', 'thats', 'were', 'the', 'good', 'ends.the', 'data', 'feature', 'is', 'useless', 'never', 'works.pay', 'for', 'unlimited', 'data', 'and', 'never', 'can', 'get', 'a', 'connection', 'or', 'a', 'good', 'one']","{'neg': 0.072, 'neu': 0.658, 'pos': 0.27, 'compound': 0.85}"
"What a complete joke of a company.No contact email, chat bot won't send a text to registered mobile, advisors constantly busy, held in an empty abyss wondering if your still connected or have been cut off and having to pay for the nothingness aswel.Just want to cancel contract pay money owed including early termination fee and get on with my life.Never known anything like it, horrendous customer service.I do not have a Facebook or Twitter account, please don't ask me to contact you via these social media platforms.","['what', 'a', 'complete', 'joke', 'of', 'a', 'company.no', 'contact', 'email', ',', 'chat', 'bot', 'wo', ""n't"", 'send', 'a', 'text', 'to', 'registered', 'mobile', ',', 'advisors', 'constantly', 'busy', ',', 'held', 'in', 'an', 'empty', 'abyss', 'wondering', 'if', 'your', 'still', 'connected', 'or', 'have', 'been', 'cut', 'off', 'and', 'having', 'to', 'pay', 'for', 'the', 'nothingness', 'aswel.just', 'want', 'to', 'cancel', 'contract', 'pay', 'money', 'owed', 'including', 'early', 'termination', 'fee', 'and', 'get', 'on', 'with', 'my', 'life.never', 'known', 'anything', 'like', 'it', ',', 'horrendous', 'customer', 'service.i', 'do', 'not', 'have', 'a', 'facebook', 'or', 'twitter', 'account', ',', 'please', 'do', ""n't"", 'ask', 'me', 'to', 'contact', 'you', 'via', 'these', 'social', 'media', 'platforms', '.']","{'neg': 0.129, 'neu': 0.785, 'pos': 0.086, 'compound': -0.4939}"
"They’re absolutely horrible. They kept renewing my 30-day contact even though I asked them not to. To cancel, I had to eat 35 minutes and asked 10 different questions twice.","['they', '’', 're', 'absolutely', 'horrible', '.', 'they', 'kept', 'renewing', 'my', '30-day', 'contact', 'even', 'though', 'i', 'asked', 'them', 'not', 'to', '.', 'to', 'cancel', ',', 'i', 'had', 'to', 'eat', '35', 'minutes', 'and', 'asked', '10', 'different', 'questions', 'twice', '.']","{'neg': 0.117, 'neu': 0.83, 'pos': 0.053, 'compound': -0.4684}"
Malina has been such a great help with my upgrade today. She is such a valued member of your team,"['malina', 'has', 'been', 'such', 'a', 'great', 'help', 'with', 'my', 'upgrade', 'today', '.', 'she', 'is', 'such', 'a', 'valued', 'member', 'of', 'your', 'team']","{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.8658}"
"Malina was really helpful and made sure I got a good deal. :) Hello, the Gmail id you entered is incorrect; I am not able to login to my Vodafone account","['malina', 'was', 'really', 'helpful', 'and', 'made', 'sure', 'i', 'got', 'a', 'good', 'deal', '.', ':', ')', 'hello', ',', 'the', 'gmail', 'id', 'you', 'entered', 'is', 'incorrect', ';', 'i', 'am', 'not', 'able', 'to', 'login', 'to', 'my', 'vodafone', 'account']","{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.807}"
"Excellent service from Liam, thorough explanation of the services available.","['excellent', 'service', 'from', 'liam', ',', 'thorough', 'explanation', 'of', 'the', 'services', 'available', '.']","{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.5719}"
My contract ended and I wanted to switch to PAYG  I was on chat for an hour with someone who couldn't help only was asking stupid questions and was giving me some offerts after all he said I have to call to them so I did .then they transfer me from one advisor to another for another hour and finally  she send me a link which told me if I would like to switch from contract to PAYG i have to call to them 😂😂😂😤this is wrong absolutely shocking..  bye bye vodaphone hello O2 ..and fu*** you TOBI chat 🫡,"['my', 'contract', 'ended', 'and', 'i', 'wanted', 'to', 'switch', 'to', 'payg', 'i', 'was', 'on', 'chat', 'for', 'an', 'hour', 'with', 'someone', 'who', 'could', ""n't"", 'help', 'only', 'was', 'asking', 'stupid', 'questions', 'and', 'was', 'giving', 'me', 'some', 'offerts', 'after', 'all', 'he', 'said', 'i', 'have', 'to', 'call', 'to', 'them', 'so', 'i', 'did', '.then', 'they', 'transfer', 'me', 'from', 'one', 'advisor', 'to', 'another', 'for', 'another', 'hour', 'and', 'finally', 'she', 'send', 'me', 'a', 'link', 'which', 'told', 'me', 'if', 'i', 'would', 'like', 'to', 'switch', 'from', 'contract', 'to', 'payg', 'i', 'have', 'to', 'call', 'to', 'them', '😂😂😂😤this', 'is', 'wrong', 'absolutely', 'shocking', '..', 'bye', 'bye', 'vodaphone', 'hello', 'o2', '..', 'and', 'fu', '*', '*', '*', 'you', 'tobi', 'chat', '\U0001fae1']","{'neg': 0.15, 'neu': 0.805, 'pos': 0.045, 'compound': -0.9109}"
"The sales team were well inform about their product, and very helpful in clearing my problems with log in. That l have decided to stay with Vodafone and purchased a Board Band.","['the', 'sales', 'team', 'were', 'well', 'inform', 'about', 'their', 'product', ',', 'and', 'very', 'helpful', 'in', 'clearing', 'my', 'problems', 'with', 'log', 'in', '.', 'that', 'l', 'have', 'decided', 'to', 'stay', 'with', 'vodafone', 'and', 'purchased', 'a', 'board', 'band', '.']","{'neg': 0.077, 'neu': 0.774, 'pos': 0.149, 'compound': 0.3597}"
One more upgrade as it was this time of the year. Natasha provided a great service and explained all features of the new plans. Will definitely come back for my home broadband upgrade.,"['one', 'more', 'upgrade', 'as', 'it', 'was', 'this', 'time', 'of', 'the', 'year', '.', 'natasha', 'provided', 'a', 'great', 'service', 'and', 'explained', 'all', 'features', 'of', 'the', 'new', 'plans', '.', 'will', 'definitely', 'come', 'back', 'for', 'my', 'home', 'broadband', 'upgrade', '.']","{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.7783}"
Very helpful and knowledgeable of our needs and requirements. Friendly and patient which is unusual to find in service roles at the moment.,"['very', 'helpful', 'and', 'knowledgeable', 'of', 'our', 'needs', 'and', 'requirements', '.', 'friendly', 'and', 'patient', 'which', 'is', 'unusual', 'to', 'find', 'in', 'service', 'roles', 'at', 'the', 'moment', '.']","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.7425}"
